path,msg_id,msg,alerts,chosen,In which repository the modification was done?,In which pull request the modification was done?,Do you consider the removed alert harmful?,Why do you consider it harmful (or harmless)?,"What is the code quality (1 lowest, 10 best)? Code quality refers to the code prior to the pull request.",Why do you consider the code quality as such?,"What is the expected benefit(1 – negative, 5 – neutral, 10 – great)?",Why do you consider the pull request to improve the code (or not improve it)?
main\settings.py,W0401, wildcard-import,1,1, , , , , , , , 
applications\constants.py,C0301, line-too-long,1,1, , , , , , , , 
klasses\factories.py,C0301, line-too-long,1,1, , , , , , , , 
applications\management\commands\reset_application_interview_state.py,C0301, line-too-long,1,1, , , , , , , , 
authentication\serializers.py,C0301, line-too-long,2,1, , , , , , , , 
ecommerce\management\commands\import_wire_transfers.py,C0301, line-too-long,1,1, , , , , , , , 
cms\api.py,C0301, line-too-long,1,1, , , , , , , , 
mail\exceptions.py,C0301, line-too-long,1,1, , , , , , , , 
cms\migrations\0015_add_banner_image_in_programdescriptionpage.py,C0301, line-too-long,1,1, , , , , , , , 
ecommerce\views.py,C0301, line-too-long,1,1, , , , , , , , 
main\templatetags\dollar_format.py,C0301, line-too-long,1,1, , , , , , , , 
klasses\models.py,C0301, line-too-long,1,1, , , , , , , , 
mail\api.py,C0301, line-too-long,2,1, , , , , , , , 
authentication\views.py,C0301, line-too-long,1,1, , , , , , , , 
ecommerce\models.py,C0301, line-too-long,1,1, , , , , , , , 
cms\blocks.py,C0301, line-too-long,1,1, , , , , , , , 
main\serializers.py,C0301, line-too-long,1,1, , , , , , , , 
novoed\tasks.py,C0301, line-too-long,2,1, , , , , , , , 
hubspot_sync\management\commands\sync_db_to_hubspot.py,C0301, line-too-long,2,1, , , , , , , , 
cms\migrations\0012_learningresourcepage.py,C0301, line-too-long,2,1, , , , , , , , 
cms\migrations\0008_column_image_text_section.py,C0301, line-too-long,2,1, , , , , , , , 
ecommerce\constants.py,C0301, line-too-long,1,1, , , , , , , , 
profiles\utils.py,C0301, line-too-long,1,1, , , , , , , , 
cms\migrations\0017_home_page_alumni_section.py,C0301, line-too-long,1,1, , , , , , , , 
cms\migrations\0031_certificatepage_new_fields.py,C0301, line-too-long,2,1, , , , , , , , 
applications\serializers.py,C0301, line-too-long,2,1, , , , , , , , 
profiles\serializers.py,C0301, line-too-long,2,1, , , , , , , , 
applications\admin.py,C0301, line-too-long,1,1, , , , , , , , 
hubspot_sync\management\commands\sync_hubspot_ids_to_db.py,C0301, line-too-long,2,1, , , , , , , , 
cms\migrations\0013_programdescriptionpage.py,C0301, line-too-long,2,1, , , , , , , , 
profiles\views.py,C0301, line-too-long,1,1, , , , , , , , 
cms\templatetags\image_version_url.py,C0301, line-too-long,1,1, , , , , , , , 
ecommerce\admin.py,C0301, line-too-long,1,1, , , , , , , , 
main\utils.py,C0301, line-too-long,2,1, , , , , , , , 
applications\mail_api.py,C0301, line-too-long,1,1, , , , , , , , 
cms\migrations\0024_lettertemplatepage.py,C0301, line-too-long,2,1, , , , , , , , 
cms\migrations\0020_home_catalog_section.py,C0301, line-too-long,2,1, , , , , , , , 
klasses\management\commands\defer_enrollment.py,C0301, line-too-long,2,1, , , , , , , , 
cms\migrations\0016_admissions_section.py,C0301, line-too-long,2,1, , , , , , , , 
klasses\management\commands\manage_certificates.py,C0301, line-too-long,1,1, , , , , , , , 
authentication\pipeline\compliance.py,C0301, line-too-long,2,1, , , , , , , , 
main\settings.py,C0301, line-too-long,7,0, , , , , , , , 
localdev\seed\api.py,C0301, line-too-long,8,0, , , , , , , , 
localdev\seed\utils.py,C0301, line-too-long,8,0, , , , , , , , 
cms\migrations\0010_alumnipage.py,C0301, line-too-long,3,0, , , , , , , , 
ecommerce\api.py,C0301, line-too-long,3,0, , , , , , , , 
profiles\factories.py,C0301, line-too-long,3,0, , , , , , , , 
novoed\api.py,C0301, line-too-long,5,0, , , , , , , , 
main\hijack_support_middleware.py,C0301, line-too-long,3,0, , , , , , , , 
cms\migrations\0037_wagtail_5_upgrade.py,C0301, line-too-long,16,0, , , , , , , , 
compliance\api.py,C0301, line-too-long,4,0, , , , , , , , 
localdev\seed\app_state_api.py,C0301, line-too-long,12,0, , , , , , , , 
profiles\api.py,C0301, line-too-long,10,0, , , , , , , , 
applications\management\utils.py,C0301, line-too-long,9,0, , , , , , , , 
klasses\utils.py,C0301, line-too-long,5,0, , , , , , , , 
klasses\api.py,C0301, line-too-long,14,0, , , , , , , , 
profiles\migrations\__init__.py,R0801, duplicate-code,104,0, , , , , , , , 
hubspot_sync\management\commands\configure_hubspot_properties.py,C0301, line-too-long,3,0, , , , , , , , 
cms\models.py,C0301, line-too-long,10,0, , , , , , , , 
cms\migrations\0036_add_sponsors_section.py,C0301, line-too-long,14,0, , , , , , , , 
mail\v2\api.py,C0301, line-too-long,5,0, , , , , , , , 
cms\migrations\0029_certificatepage_signatoryindexpage_signatorypage.py,C0301, line-too-long,3,0, , , , , , , , 
applications\models.py,C0301, line-too-long,8,0, , , , , , , , 
applications\api.py,C0301, line-too-long,3,0, , , , , , , , 
cms\migrations\0007_instructorspage.py,C0301, line-too-long,7,0, , , , , , , , 
localdev\seed\deserializers.py,C0301, line-too-long,8,0, , , , , , , , 
cms\migrations\0011_add_banner_field_and_heading_and_heading_singular_to_instructors_section.py,C0301, line-too-long,6,0, , , , , , , , 
applications\management\commands\migrate_applications.py,C0301, line-too-long,8,0, , , , , , , , 
