path,msg_id,msg,alerts,chosen,In which repository the modification was done?,In which pull request the modification was done?,Do you consider the removed alert harmful?,Why do you consider it harmful (or harmless)?,"What is the code quality (1 lowest, 10 best)? Code quality refers to the code prior to the pull request.",Why do you consider the code quality as such?,"What is the expected benefit(1 – negative, 5 – neutral, 10 – great)?",Why do you consider the pull request to improve the code (or not improve it)?
src\python\pants\backend\python\goals\lockfile.py,C0301, line-too-long,2,1, , , , , , , , 
src\python\pants\engine\internals\scheduler.py,C0301, line-too-long,2,1, , , , , , , , 
src\python\pants\jvm\dependency_inference\symbol_mapper.py,C0301, line-too-long,1,1, , , , , , , , 
src\python\pants_release\git.py,W0718, broad-exception-caught,1,1, , , , , , , , 
src\python\pants\jvm\resolve\coordinate.py,C0301, line-too-long,1,1, , , , , , , , 
src\python\pants\backend\go\util_rules\goroot.py,C0301, line-too-long,1,1, , , , , , , , 
src\python\pants\backend\python\goals\coverage_py.py,C0301, line-too-long,1,1, , , , , , , , 
src\python\pants\backend\python\macros\uv_requirements.py,C0301, line-too-long,2,1, , , , , , , , 
src\python\pants\engine\env_vars.py,C0301, line-too-long,1,1, , , , , , , , 
src\python\pants\backend\build_files\fmt\buildifier\rules.py,C0301, line-too-long,1,1, , , , , , , , 
src\python\pants\backend\python\util_rules\pex_venv.py,C0301, line-too-long,1,1, , , , , , , , 
src\python\pants\backend\go\goals\debug_goals.py,C0301, line-too-long,2,1, , , , , , , , 
src\python\pants\backend\java\dependency_inference\java_parser.py,C0301, line-too-long,1,1, , , , , , , , 
src\python\pants\backend\kotlin\lint\ktlint\subsystem.py,C0301, line-too-long,1,1, , , , , , , , 
src\python\pants\bin\daemon_pants_runner.py,W0718, broad-exception-caught,1,1, , , , , , , , 
src\python\pants\core\goals\deploy.py,C0301, line-too-long,2,1, , , , , , , , 
src\python\pants\fs\fs.py,C0301, line-too-long,1,1, , , , , , , , 
src\python\pants\jvm\package\deploy_jar.py,C0301, line-too-long,1,1, , , , , , , , 
src\python\pants\backend\openapi\subsystems\openapi.py,C0301, line-too-long,1,1, , , , , , , , 
src\python\pants\backend\python\subsystems\python_native_code.py,C0301, line-too-long,1,1, , , , , , , , 
src\python\pants\backend\rust\target_types.py,C0301, line-too-long,1,1, , , , , , , , 
src\python\pants\backend\go\util_rules\build_pkg_target.py,R0915, too-many-statements,1,1, , , , , , , , 
build-support\bin\generate_builtin_lockfiles.py,C0301, line-too-long,1,1, , , , , , , , 
src\python\pants\bsp\spec\base.py,C0301, line-too-long,1,1, , , , , , , , 
src\python\pants\pantsd\process_manager.py,W0718, broad-exception-caught,2,1, , , , , , , , 
src\python\pants\util\ordered_set.py,C0301, line-too-long,2,1, , , , , , , , 
src\python\pants\backend\project_info\paths.py,C0301, line-too-long,1,1, , , , , , , , 
src\python\pants\backend\scala\subsystems\scalac.py,C0301, line-too-long,1,1, , , , , , , , 
build-support\flake8\await_in_loop.py,C0301, line-too-long,2,1, , , , , , , , 
src\python\pants\backend\java\compile\javac.py,C0301, line-too-long,1,1, , , , , , , , 
src\python\pants\backend\python\lint\flake8\subsystem.py,C0301, line-too-long,2,1, , , , , , , , 
src\python\pants\backend\python\util_rules\package_dists.py,C0302, too-many-lines,1,1, , , , , , , , 
src\python\pants\core\util_rules\environments.py,C0302, too-many-lines,1,1, , , , , , , , 
src\python\pants\goal\anonymous_telemetry.py,C0301, line-too-long,2,1, , , , , , , , 
src\python\pants\jvm\jdk_rules.py,C0301, line-too-long,1,1, , , , , , , , 
src\python\pants\jvm\package\war.py,C0301, line-too-long,1,1, , , , , , , , 
