repo_name,status,date,comment,issue,pr
roboflow/supervision,no alerts,22/09/2024,Well done!,,
unclecode/crawl4ai,no alerts,22/09/2024,Well done!,,
THUDM/CogVideo,contact,22/09/2024,,https://github.com/THUDM/CogVideo/issues/330,
All-Hands-AI/OpenHands,no alerts,22/09/2024,Well done!,,
Kanaries/pygwalker,no alerts,22/09/2024,Well done!,,
stanford-oval/storm,merged,26/09/2024,,https://github.com/stanford-oval/storm/issues/174,
Lightning-AI/litgpt,no alerts,22/09/2024,Well done!,,
THU-MIG/yolov10,contact,22/09/2024,,https://github.com/THU-MIG/yolov10/issues/445,
sktime/sktime,no alerts,22/09/2024,Well done!,,
frappe/hrms,no alerts,22/09/2024,Well done!,,
glato/emerge,no alerts,22/09/2024,Well done!,,
aeon-toolkit/aeon,no alerts,24/09/2024,Well done!,,
ladybug-tools/ladybug,no alerts,24/09/2024,Well done!,,
facelessuser/coloraide,no alerts,24/09/2024,Well done!,,
theislab/ehrapy,no alerts,24/09/2024,Well done!,,
gabfl/vault,merged,25/09/2024,,https://github.com/gabfl/vault/issues/81,
Acellera/moleculekit,no alerts,25/09/2024,Well done!,,
comic/grand-challenge.org,no alerts,25/09/2024,Well done!,,
ossf/osv-schema,contact,25/09/2024,,https://github.com/ossf/osv-schema/issues/290,
coreruleset/coreruleset,merged,27/09/2024,,https://github.com/coreruleset/coreruleset/issues/3835,https://github.com/coreruleset/coreruleset/pull/3837
niklasf/python-chess,contact,28/09/2024,,https://github.com/niklasf/python-chess/issues/1109,
