path,msg_id,msg,alerts,chosen,In which repository the modification was done?,In which pull request the modification was done?,Do you consider the removed alert harmful?,Why do you consider it harmful (or harmless)?,"What is the code quality (1 lowest, 10 best)? Code quality refers to the code prior to the pull request.",Why do you consider the code quality as such?,"What is the expected benefit(1 – negative, 5 – neutral, 10 – great)?",Why do you consider the pull request to improve the code (or not improve it)?
backend\uclapi\workspaces\occupeye\cache.py,R1702, too-many-nested-blocks,1,1, , , , , , , , 
backend\uclapi\roombookings\helpers.py,C0325, superfluous-parens,1,1, , , , , , , , 
backend\uclapi\timetable\app_helpers.py,R0912, too-many-branches,1,1, , , , , , , , 
backend\uclapi\timetable\models.py,C0302, too-many-lines,1,1, , , , , , , , 
backend\uclapi\common\views.py,C0301, line-too-long,1,1, , , , , , , , 
backend\uclapi\dashboard\migrations\0003_auto_20170113_1853.py,C0301, line-too-long,1,1, , , , , , , , 
backend\uclapi\timetable\tasks.py,C0301, line-too-long,1,1, , , , , , , , 
backend\uclapi\roombookings\migrations\0007_auto_20170328_1109.py,C0301, line-too-long,1,1, , , , , , , , 
backend\uclapi\dashboard\api_applications.py,R0911, too-many-return-statements,2,1, , , , , , , , 
backend\uclapi\oauth\scoping.py,C0325, superfluous-parens,1,1, , , , , , , , 
backend\uclapi\workspaces\occupeye\api.py,R0912, too-many-branches,1,1, , , , , , , , 
backend\uclapi\common\helpers.py,C0301, line-too-long,1,1, , , , , , , , 
backend\uclapi\roombookings\migrations\0003_pagetoken.py,C0301, line-too-long,2,1, , , , , , , , 
backend\uclapi\workspaces\migrations\0002_auto_20210530_1955.py,C0301, line-too-long,2,1, , , , , , , , 
backend\uclapi\dashboard\migrations\0004_whitelist.py,C0301, line-too-long,1,1, , , , , , , , 
backend\uclapi\dashboard\migrations\0007_temporarytoken.py,C0301, line-too-long,1,1, , , , , , , , 
backend\uclapi\roombookings\management\commands\trigger_webhooks.py,R0915, too-many-statements,1,1, , , , , , , , 
backend\uclapi\workspaces\occupeye\exceptions.py,W0107,unnecessary-pass,2,1, , , , , , , , 
backend\uclapi\libcal\utils.py,C0301, line-too-long,1,1, , , , , , , , 
backend\uclapi\timetable\migrations\0001_initial.py,C0301, line-too-long,2,1, , , , , , , , 
backend\uclapi\roombookings\migrations\0011_rooma_roomb.py,C0301, line-too-long,2,1, , , , , , , , 
backend\uclapi\roombookings\migrations\0001_initial.py,C0301, line-too-long,1,1, , , , , , , , 
backend\uclapi\common\decorators.py,R0911, too-many-return-statements,1,1, , , , , , , , 
backend\uclapi\timetable\migrations\0008_modulegroups_modulegroupsa_modulegroupsb.py,C0301, line-too-long,1,1, , , , , , , , 
backend\uclapi\uclapi\settings_mocked.py,W0401, wildcard-import,1,1, , , , , , , , 
backend\uclapi\roombookings\management\commands\insert_locations.py,R0915, too-many-statements,1,1, , , , , , , , 
backend\uclapi\dashboard\webhook_views.py,R0911, too-many-return-statements,1,1, , , , , , , , 
backend\uclapi\workspaces\occupeye\endpoint.py,C0301, line-too-long,1,1, , , , , , , , 
backend\uclapi\timetable\management\commands\rerun_migration.py,R0912, too-many-branches,1,1, , , , , , , , 
backend\uclapi\timetable\amp.py,R0912, too-many-branches,1,1, , , , , , , , 
backend\uclapi\dashboard\migrations\0002_auto_20170113_1723.py,C0301, line-too-long,1,1, , , , , , , , 
backend\uclapi\workspaces\tasks.py,C0325, superfluous-parens,1,1, , , , , , , , 
backend\uclapi\roombookings\migrations\0009_sitelocation.py,C0301, line-too-long,1,1, , , , , , , , 
backend\uclapi\dashboard\app_helpers.py,R0911, too-many-return-statements,1,1, , , , , , , , 
backend\uclapi\roombookings\migrations\0004_equipment.py,C0301, line-too-long,1,1, , , , , , , , 
backend\uclapi\dashboard\models.py,C0301, line-too-long,1,1, , , , , , , , 
backend\uclapi\dashboard\migrations\0015_auto_20200627_1627.py,C0301, line-too-long,1,1, , , , , , , , 
.github\helpers\auto-merge-approved-dependabot.py,C0301, line-too-long,2,1, , , , , , , , 
backend\uclapi\common\management\commands\dev_environment_setup.py,C0301, line-too-long,2,1, , , , , , , , 
backend\uclapi\oauth\views.py,R0911, too-many-return-statements,1,1, , , , , , , , 
backend\uclapi\workspaces\occupeye\archive.py,R1702, too-many-nested-blocks,1,1, , , , , , , , 
backend\uclapi\timetable\migrations\0014_auto_20190302_0232_squashed_0019_auto_20190305_1729.py,C0302, too-many-lines,1,1, , , , , , , , 
backend\uclapi\workspaces\occupeye\cache.py,C0301, line-too-long,17,0, , , , , , , , 
backend\uclapi\workspaces\occupeye\__init__.py,R0801, duplicate-code,40,0, , , , , , , , 
backend\uclapi\common\views.py,W0718, broad-exception-caught,4,0, , , , , , , , 
backend\uclapi\timetable\tasks.py,R0912, too-many-branches,1,0, , , , , , , , 
backend\uclapi\timetable\tasks.py,R0915, too-many-statements,1,0, , , , , , , , 
backend\uclapi\timetable\tasks.py,W0718, broad-exception-caught,1,0, , , , , , , , 
backend\uclapi\uclapi\celery.py,C0301, line-too-long,6,0, , , , , , , , 
backend\uclapi\workspaces\image_builder.py,C0301, line-too-long,4,0, , , , , , , , 
backend\uclapi\dashboard\api_applications.py,R1719, simplifiable-if-expression,1,0, , , , , , , , 
backend\uclapi\workspaces\occupeye\api.py,C0301, line-too-long,6,0, , , , , , , , 
backend\uclapi\libcal\serializers.py,C0301, line-too-long,11,0, , , , , , , , 
backend\uclapi\workspaces\views.py,C0301, line-too-long,9,0, , , , , , , , 
backend\uclapi\roombookings\management\commands\trigger_webhooks.py,C0301, line-too-long,4,0, , , , , , , , 
backend\uclapi\roombookings\management\commands\trigger_webhooks.py,R0912, too-many-branches,1,0, , , , , , , , 
backend\uclapi\common\decorators.py,R0912, too-many-branches,1,0, , , , , , , , 
backend\uclapi\workspaces\migrations\0001_initial.py,C0301, line-too-long,6,0, , , , , , , , 
backend\uclapi\dashboard\webhook_views.py,C0301, line-too-long,3,0, , , , , , , , 
backend\uclapi\dashboard\webhook_views.py,C0325, superfluous-parens,1,0, , , , , , , , 
backend\uclapi\dashboard\migrations\0001_initial.py,C0301, line-too-long,6,0, , , , , , , , 
backend\uclapi\timetable\amp.py,R0915, too-many-statements,1,0, , , , , , , , 
backend\uclapi\libcal\views.py,C0301, line-too-long,8,0, , , , , , , , 
backend\uclapi\workspaces\models.py,C0301, line-too-long,7,0, , , , , , , , 
backend\uclapi\oauth\app_helpers.py,C0301, line-too-long,13,0, , , , , , , , 
backend\uclapi\roombookings\migrations\0006_bookinga_bookingb_lock.py,C0301, line-too-long,3,0, , , , , , , , 
backend\uclapi\oauth\views.py,W0718, broad-exception-caught,3,0, , , , , , , , 
backend\uclapi\workspaces\occupeye\archive.py,C0301, line-too-long,29,0, , , , , , , , 
backend\uclapi\workspaces\occupeye\archive.py,R0912, too-many-branches,1,0, , , , , , , , 
backend\uclapi\dashboard\migrations\0011_auto_20170930_1600.py,C0301, line-too-long,5,0, , , , , , , , 
backend\uclapi\timetable\migrations\0002_caching.py,C0301, line-too-long,17,0, , , , , , , , 
