model,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment
Tree_ms50_md3,47.0,112.0,20.0,79.0,258.0,0.62,0.49,0.26,0.7,0.44,0.37,0.15,0.32,0.51,0.22,0.2,1.0,0.83,0.05,
Tree_default,82.0,103.0,29.0,44.0,258.0,0.72,0.49,0.43,0.74,0.51,0.65,0.22,0.53,0.5,0.43,0.4,1.0,0.99,0.14,
Tree_ms50,78.0,104.0,28.0,48.0,258.0,0.71,0.49,0.41,0.74,0.51,0.62,0.21,0.51,0.5,0.41,0.38,1.0,0.98,0.13,
Tree_md3,46.0,114.0,18.0,80.0,258.0,0.62,0.49,0.25,0.72,0.47,0.37,0.14,0.32,0.51,0.23,0.21,1.0,0.81,0.05,
RandomForest,76.0,109.0,23.0,50.0,258.0,0.72,0.49,0.38,0.77,0.57,0.6,0.17,0.51,0.5,0.43,0.4,1.0,0.96,0.15,
AdaBoost,60.0,99.0,33.0,66.0,258.0,0.62,0.49,0.36,0.65,0.32,0.48,0.25,0.38,0.5,0.22,0.2,1.0,0.94,0.04,
AdaBoost_n_small,47.0,100.0,32.0,79.0,258.0,0.57,0.49,0.31,0.59,0.22,0.37,0.24,0.3,0.5,0.13,0.11,1.0,0.89,0.01,
Stump,39.0,108.0,24.0,87.0,258.0,0.57,0.49,0.24,0.62,0.27,0.31,0.18,0.26,0.51,0.13,0.11,1.0,0.8,0.02,
LogisticRegression,75.0,98.0,34.0,51.0,258.0,0.67,0.49,0.42,0.69,0.41,0.6,0.26,0.47,0.5,0.34,0.31,1.0,0.98,0.09,
SGDClassifier,99.0,31.0,101.0,27.0,258.0,0.5,0.49,0.78,0.5,0.01,0.79,0.77,0.44,0.49,0.02,-0.02,1.0,0.77,0.0,
