model,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment
Tree_ms50_md3,42.0,21.0,32.0,4.0,99.0,0.64,0.46,0.75,0.57,0.22,0.91,0.6,0.54,0.48,0.32,0.19,1.0,0.82,0.1,
Tree_default,33.0,42.0,11.0,13.0,99.0,0.76,0.46,0.44,0.75,0.61,0.72,0.21,0.58,0.5,0.5,0.42,1.0,0.99,0.2,
Tree_ms50,36.0,32.0,21.0,10.0,99.0,0.69,0.46,0.58,0.63,0.36,0.78,0.4,0.54,0.49,0.39,0.28,1.0,0.98,0.11,
Tree_md3,43.0,24.0,29.0,3.0,99.0,0.68,0.46,0.73,0.6,0.29,0.93,0.55,0.57,0.48,0.4,0.26,1.0,0.85,0.15,
RandomForest,23.0,43.0,10.0,23.0,99.0,0.67,0.46,0.33,0.7,0.5,0.5,0.19,0.41,0.51,0.3,0.25,1.0,0.92,0.08,
AdaBoost,15.0,47.0,6.0,31.0,99.0,0.63,0.46,0.21,0.71,0.54,0.33,0.11,0.29,0.52,0.2,0.17,1.0,0.75,0.05,
AdaBoost_n_small,12.0,48.0,5.0,34.0,99.0,0.61,0.46,0.17,0.71,0.52,0.26,0.09,0.24,0.52,0.16,0.13,1.0,0.66,0.04,
GradientBoostingClassifier,30.0,48.0,5.0,16.0,99.0,0.79,0.46,0.35,0.86,0.84,0.65,0.09,0.59,0.51,0.54,0.47,1.0,0.94,0.26,
Stump,39.0,16.0,37.0,7.0,99.0,0.56,0.46,0.77,0.51,0.1,0.85,0.7,0.47,0.48,0.15,0.04,1.0,0.78,0.02,
LogisticRegression,36.0,28.0,25.0,10.0,99.0,0.65,0.46,0.62,0.59,0.27,0.78,0.47,0.51,0.49,0.31,0.21,1.0,0.96,0.08,
SVC,0.0,53.0,0.0,46.0,99.0,0.54,0.46,0.0,0.0,-1.0,0.0,0.0,0.0,0.54,0.0,0.0,1.0,0.0,0.0,
SGDClassifier,29.0,27.0,26.0,17.0,99.0,0.57,0.46,0.56,0.53,0.13,0.63,0.49,0.4,0.5,0.14,0.06,1.0,0.99,0.01,
MLPClassifier,0.0,53.0,0.0,46.0,99.0,0.54,0.46,0.0,0.0,-1.0,0.0,0.0,0.0,0.54,0.0,0.0,1.0,0.0,0.0,
